S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 yrs lease commencing from 2005,Resale,1,2933800,-,1733,Strata,06 to 10,1693,Oct-21
2,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,Resale,1,1438000,-,936,Strata,06 to 10,1536,Oct-21
3,MERAPRIME,JALAN BUKIT HO SWEE,Condominium,3,RCR,99 yrs lease commencing from 2003,Resale,1,1738000,-,1098,Strata,11 to 15,1583,Oct-21
4,THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,5,RCR,99 yrs lease commencing from 2005,Resale,1,1810000,-,1206,Strata,21 to 25,1501,Oct-21
5,LUMIERE,MISTRI ROAD,Apartment,2,CCR,99 yrs lease commencing from 2006,Resale,1,1332160,-,678,Strata,41 to 45,1964,Oct-21
6,QUEENS,STIRLING ROAD,Condominium,3,RCR,99 yrs lease commencing from 1998,Resale,1,1315000,-,915,Strata,26 to 30,1437,Oct-21
7,ONE SHENTON,SHENTON WAY,Apartment,1,CCR,99 yrs lease commencing from 2005,Resale,1,2500000,-,1572,Strata,16 to 20,1591,Oct-21
8,SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,4,RCR,Freehold,Resale,1,3218000,-,1615,Strata,16 to 20,1993,Oct-21
9,MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 yrs lease commencing from 2011,Resale,1,1693009,-,764,Strata,16 to 20,2215,Oct-21
10,PASIR PANJANG COURT,PASIR PANJANG CLOSE,Apartment,5,RCR,Freehold,Resale,1,1868000,-,1346,Strata,01 to 05,1388,Oct-21
11,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,Freehold,Resale,1,1108000,-,538,Strata,11 to 15,2059,Oct-21
12,HERITAGE VIEW,DOVER RISE,Condominium,5,RCR,99 yrs lease commencing from 1996,Resale,1,1510000,-,1195,Strata,01 to 05,1264,Oct-21
