S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,THREE THREE ROBIN,ROBIN ROAD,Apartment,10,CCR,Freehold,Resale,1,3580000,-,1636,Strata,06 to 10,2188,Oct-21
2,CITYVALE,SOPHIA ROAD,Apartment,9,CCR,Freehold,Resale,1,1600000,-,1012,Strata,06 to 10,1581,Oct-21
3,LOFT @ NATHAN,NATHAN ROAD,Apartment,10,CCR,Freehold,Resale,1,810000,-,420,Strata,01 to 05,1930,Oct-21
4,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,2988000,-,1744,Strata,21 to 25,1714,Oct-21
5,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,2060000,-,1216,Strata,21 to 25,1694,Oct-21
6,CITIGATE RESIDENCE,RANGOON ROAD,Apartment,8,RCR,Freehold,Resale,1,680000,-,570,Strata,01 to 05,1192,Oct-21
7,STEVENS SUITES,STEVENS CLOSE,Apartment,10,CCR,Freehold,Resale,1,2450000,-,1539,Strata,01 to 05,1592,Oct-21
8,STEVENS SUITES,STEVENS CLOSE,Apartment,10,CCR,Freehold,Resale,1,1990000,-,1109,Strata,01 to 05,1795,Oct-21
9,THE RISE @ OXLEY - RESIDENCES,OXLEY RISE,Apartment,9,CCR,Freehold,Resale,1,1099999,-,463,Strata,06 to 10,2377,Oct-21
10,RIVERGATE,ROBERTSON QUAY,Apartment,9,CCR,Freehold,Resale,1,2620000,-,1023,Strata,31 to 35,2562,Oct-21
11,PATERSON SUITES,PATERSON ROAD,Condominium,9,CCR,Freehold,Resale,1,4455000,-,1755,Strata,16 to 20,2539,Oct-21
12,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,Resale,1,2730000,-,1335,Strata,06 to 10,2045,Oct-21
13,PARC MACKENZIE,MACKENZIE ROAD,Apartment,9,CCR,Freehold,Resale,1,1295000,-,904,Strata,01 to 05,1432,Oct-21
14,SIXTH AVENUE VILLE,SIXTH AVENUE,Condominium,10,CCR,Freehold,Resale,1,2980000,-,1711,Strata,01 to 05,1741,Oct-21
15,REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,Resale,1,6400000,-,3175,Strata,16 to 20,2016,Oct-21
16,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,Resale,1,2850000,-,1259,Strata,01 to 05,2263,Oct-21
17,HILLTOPS,CAIRNHILL CIRCLE,Condominium,9,CCR,Freehold,Resale,1,7076000,-,2390,Strata,01 to 05,2961,Oct-21
18,THE QUAYSIDE,ROBERTSON QUAY,Apartment,9,CCR,99 yrs lease commencing from 1994,Resale,1,2080000,-,1367,Strata,01 to 05,1522,Oct-21
