S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
19,AVALON,ANDERSON ROAD,Condominium,10,CCR,Freehold,Resale,1,3150000,-,1582,Strata,01 to 05,1991,Oct-21
20,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,Resale,1,3650000,-,2067,Strata,06 to 10,1766,Oct-21
21,LEONIE SUITES,LEONIE HILL,Apartment,9,CCR,99 yrs lease commencing from 2002,Resale,1,1600000,-,936,Strata,06 to 10,1709,Oct-21
22,SOUTH BEACH RESIDENCES,BEACH ROAD,Apartment,7,CCR,99 yrs lease commencing from 2007,Resale,1,18500000,-,3897,Strata,41 to 45,4748,Oct-21
23,CITY GATE,BEACH ROAD,Apartment,7,RCR,99 yrs lease commencing from 2014,Resale,1,1395000,-,753,Strata,16 to 20,1851,Oct-21
24,THE IMPERIAL,JALAN RUMBIA,Condominium,9,CCR,Freehold,Resale,1,3820000,-,1733,Strata,06 to 10,2204,Oct-21
25,THE INSPIRA,ARNASALAM CHETTY ROAD,Condominium,9,CCR,Freehold,Resale,1,2000000,-,936,Strata,11 to 15,2136,Oct-21
26,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,Resale,1,2720000,-,1356,Strata,01 to 05,2006,Oct-21
27,CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 yrs lease commencing from 2004,Resale,1,1160000,-,732,Strata,11 to 15,1585,Oct-21
28,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,Resale,1,1700000,-,980,Strata,01 to 05,1736,Oct-21
29,DUCHESS MANOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,Resale,1,2260000,-,990,Strata,01 to 05,2282,Oct-21
30,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,Resale,1,2580000,-,1711,Strata,01 to 05,1507,Oct-21
31,CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,925000,-,570,Strata,01 to 05,1621,Oct-21
32,CAVENAGH HOUSE,CLEMENCEAU AVENUE NORTH,Apartment,9,CCR,Freehold,Resale,1,3060000,-,1701,Strata,11 to 15,1799,Oct-21
33,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,Resale,1,5400000,-,2131,Strata,06 to 10,2534,Oct-21
34,THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL,CAIRNHILL ROAD,Apartment,9,CCR,Freehold,Resale,1,15000000,-,3057,Strata,31 to 35,4907,Oct-21
35,DRAYCOTT EIGHT,DRAYCOTT PARK,Condominium,10,CCR,99 yrs lease commencing from 1997,Resale,1,6480000,-,3175,Strata,01 to 05,2041,Oct-21
36,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1610000,-,1076,Strata,06 to 10,1496,Oct-21
37,THE LIGHT @ CAIRNHILL,CAIRNHILL CIRCLE,Condominium,9,CCR,Freehold,Resale,1,3800000,-,1722,Strata,01 to 05,2206,Oct-21
38,PARC EMILY,MOUNT EMILY ROAD,Condominium,9,CCR,Freehold,Resale,1,1888000,-,1001,Strata,06 to 10,1886,Oct-21
39,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,Resale,1,8800000,-,2874,Strata,21 to 25,3062,Oct-21
40,DORMER PARK,JERVOIS ROAD,Condominium,10,CCR,Freehold,Resale,1,2240000,-,1238,Strata,01 to 05,1810,Oct-21
41,HILLTOPS,CAIRNHILL CIRCLE,Condominium,9,CCR,Freehold,Resale,1,5364000,-,1711,Strata,16 to 20,3134,Oct-21
42,BELLERIVE,KENG CHIN ROAD,Apartment,10,CCR,Freehold,Resale,1,2960000,-,1539,Strata,06 to 10,1923,Oct-21
43,ESPADA,ST. THOMAS WALK,Apartment,9,CCR,Freehold,Resale,1,973000,-,377,Strata,16 to 20,2583,Oct-21
44,CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,1960000,-,1206,Strata,01 to 05,1626,Oct-21
45,THE PLAZA,BEACH ROAD,Apartment,7,CCR,99 yrs lease commencing from 1968,Resale,1,790000,-,732,Strata,26 to 30,1079,Oct-21
46,THE ORANGE GROVE,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,Resale,1,4600000,-,2153,Strata,01 to 05,2137,Oct-21
47,NOUVEL 18,ANDERSON ROAD,Condominium,10,CCR,Freehold,Resale,1,8456000,-,2476,Strata,21 to 25,3416,Oct-21
48,STARLIGHT SUITES,RIVER VALLEY CLOSE,Apartment,9,CCR,Freehold,Resale,1,6000000,-,3757,Strata,31 to 35,1597,Oct-21
49,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,2200000,-,1356,Strata,06 to 10,1622,Oct-21
50,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1605000,-,1055,Strata,16 to 20,1522,Oct-21
51,LE WILKIE,WILKIE ROAD,Apartment,9,CCR,Freehold,Resale,1,1398000,-,1001,Strata,06 to 10,1397,Oct-21
52,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,Resale,1,2400000,-,1302,Strata,11 to 15,1843,Oct-21
53,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,Resale,1,8000000,-,2756,Strata,16 to 20,2903,Oct-21
54,DUO RESIDENCES,FRASER STREET,Apartment,7,CCR,99 yrs lease commencing from 2011,Resale,1,1340000,-,646,Strata,21 to 25,2075,Oct-21
55,TANGLIN PARK,RIDLEY PARK,Condominium,10,CCR,Freehold,Resale,1,2150000,-,1033,Strata,01 to 05,2081,Oct-21
56,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,2100000,-,1001,Strata,01 to 05,2098,Oct-21
57,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1180000,-,635,Strata,21 to 25,1858,Oct-21
58,SOPHIA RESIDENCE,SOPHIA ROAD,Condominium,9,CCR,Freehold,Resale,1,2770000,-,2573,Strata,11 to 15,1077,Oct-21
59,VOGX,DORSET ROAD,Apartment,8,RCR,Freehold,Resale,1,738000,-,538,Strata,01 to 05,1371,Oct-21
60,CONCOURSE SKYLINE,BEACH ROAD,Apartment,7,RCR,99 yrs lease commencing from 2008,Resale,1,1450000,-,818,Strata,11 to 15,1772,Oct-21
61,DUO RESIDENCES,FRASER STREET,Apartment,7,CCR,99 yrs lease commencing from 2011,Resale,1,2400000,-,1184,Strata,11 to 15,2027,Oct-21
62,LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,Resale,1,6500000,-,2788,Strata,11 to 15,2332,Oct-21
63,CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,1600000,-,872,Strata,26 to 30,1835,Oct-21
64,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,Resale,1,3480000,-,1701,Strata,06 to 10,2046,Oct-21
65,SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,Resale,1,1655000,-,1012,Strata,11 to 15,1636,Oct-21
66,SUNSHINE PLAZA,PRINSEP LINK,Apartment,7,RCR,99 yrs lease commencing from 1997,Resale,1,1538000,-,1044,Strata,06 to 10,1473,Oct-21
67,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,Resale,1,2042000,-,1044,Strata,11 to 15,1956,Oct-21
68,ROBERTSON 100,ROBERTSON QUAY,Apartment,9,CCR,Freehold,Resale,1,1860000,-,936,Strata,01 to 05,1986,Oct-21
69,KIM SIA COURT,JALAN JINTAN,Apartment,9,CCR,Freehold,Resale,1,2880000,-,1421,Strata,06 to 10,2027,Oct-21
70,CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 yrs lease commencing from 2004,Resale,1,1468000,-,872,Strata,26 to 30,1684,Oct-21
71,NOUVEL 18,ANDERSON ROAD,Condominium,10,CCR,Freehold,Resale,1,5880000,-,1679,Strata,31 to 35,3502,Oct-21
72,ARDMORE II,ARDMORE PARK,Condominium,10,CCR,Freehold,Resale,1,6020000,-,2024,Strata,11 to 15,2975,Oct-21
73,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,Resale,1,1370000,-,797,Strata,01 to 05,1720,Oct-21
74,8 SAINT THOMAS,ST. THOMAS WALK,Condominium,9,CCR,Freehold,Resale,1,1600000,-,506,Strata,01 to 05,3163,Oct-21
75,THE METZ,DEVONSHIRE ROAD,Condominium,9,CCR,Freehold,Resale,1,2710000,-,1023,Strata,21 to 25,2650,Oct-21
76,CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 yrs lease commencing from 2004,Resale,1,1475000,-,872,Strata,11 to 15,1692,Oct-21
77,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,Resale,1,10550000,-,2885,Strata,26 to 30,3657,Oct-21
78,2 RVG,RIVER VALLEY GROVE,Apartment,9,CCR,Freehold,Resale,1,1915000,-,926,Strata,16 to 20,2069,Oct-21
79,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,Resale,1,2950000,-,1432,Strata,06 to 10,2061,Oct-21
80,RESIDENTIAL APARTMENTS,DUBLIN ROAD,Apartment,9,CCR,Freehold,Resale,1,2660000,-,1507,Strata,01 to 05,1765,Oct-21
81,THE VERMONT ON CAIRNHILL,CAIRNHILL RISE,Apartment,9,CCR,Freehold,Resale,1,1980000,-,893,Strata,11 to 15,2216,Oct-21
82,JERVOIS JADE APARTMENTS,JERVOIS CLOSE,Apartment,10,CCR,99 yrs lease commencing from 1998,Resale,1,1670000,-,1496,Strata,01 to 05,1116,Oct-21
83,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,Resale,1,2900000,-,1668,Strata,01 to 05,1738,Oct-21
84,CONCOURSE SKYLINE,BEACH ROAD,Apartment,7,RCR,99 yrs lease commencing from 2008,Resale,1,2360000,-,1173,Strata,31 to 35,2011,Oct-21
85,CITY STUDIOS,RACE COURSE LANE,Apartment,8,RCR,Freehold,Resale,1,820000,-,657,Strata,01 to 05,1249,Oct-21
86,HILLTOPS,CAIRNHILL CIRCLE,Condominium,9,CCR,Freehold,Resale,1,8020000,-,2379,Strata,01 to 05,3371,Oct-21
87,THE LAURELS,CAIRNHILL ROAD,Condominium,9,CCR,Freehold,Resale,1,3680000,-,1281,Strata,06 to 10,2873,Oct-21
88,THE MARQ ON PATERSON HILL,PATERSON HILL,Condominium,9,CCR,Freehold,Resale,1,12250000,-,3057,Strata,11 to 15,4007,Oct-21
89,THE LUMOS,LEONIE HILL,Apartment,9,CCR,Freehold,Resale,1,5472000,-,2433,Strata,06 to 10,2249,Oct-21
90,UE SQUARE,RIVER VALLEY ROAD,Apartment,9,CCR,929 yrs lease commencing from 1953,Resale,1,1983000,-,1055,Strata,11 to 15,1880,Oct-21
91,THE QUAYSIDE,ROBERTSON QUAY,Apartment,9,CCR,99 yrs lease commencing from 1994,Resale,1,2050000,-,1367,Strata,01 to 05,1500,Oct-21
92,WATERMARK ROBERTSON QUAY,RODYK STREET,Apartment,9,CCR,Freehold,Resale,1,2750000,-,1324,Strata,06 to 10,2077,Oct-21
93,TOMLINSON HEIGHTS,TOMLINSON ROAD,Condominium,10,CCR,Freehold,Resale,1,9600000,-,2745,Strata,31 to 35,3497,Oct-21
94,THE LAURELS,CAIRNHILL ROAD,Condominium,9,CCR,Freehold,Resale,1,3650000,-,1281,Strata,11 to 15,2850,Oct-21
95,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,1560000,-,689,Strata,01 to 05,2264,Oct-21
96,CITYSCAPE @FARRER PARK,MERGUI ROAD,Condominium,8,RCR,Freehold,Resale,1,1480000,-,1076,Strata,01 to 05,1375,Oct-21
97,PRISTINE HEIGHTS,MERGUI ROAD,Apartment,8,RCR,Freehold,Resale,1,2010000,-,1356,Strata,16 to 20,1482,Oct-21
98,WATERFORD RESIDENCE,KIM YAM ROAD,Apartment,9,CCR,999 yrs lease commencing from 1841,Resale,1,1660000,-,1076,Strata,01 to 05,1542,Oct-21
99,KERRISDALE,STURDEE ROAD,Condominium,8,RCR,99 yrs lease commencing from 1998,Resale,1,2650000,-,2379,Strata,26 to 30,1114,Oct-21
100,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,1500000,-,689,Strata,01 to 05,2177,Oct-21
101,LEONIE SUITES,LEONIE HILL,Apartment,9,CCR,99 yrs lease commencing from 2002,Resale,1,1780000,-,926,Strata,16 to 20,1923,Oct-21
102,OXLEY RESIDENCE,OXLEY ROAD,Condominium,9,CCR,Freehold,Resale,1,5430000,-,2540,Strata,01 to 05,2138,Oct-21
103,BELLE VUE RESIDENCES,OXLEY WALK,Condominium,9,CCR,Freehold,Resale,1,4830000,-,3498,Strata,01 to 05,1381,Oct-21
104,SOPHIA HILLS,MOUNT SOPHIA,Condominium,9,CCR,99 yrs lease commencing from 2013,Resale,1,1390000,-,710,Strata,01 to 05,1957,Oct-21
105,BEAUFORT ON NASSIM,NASSIM ROAD,Condominium,10,CCR,Freehold,Resale,1,6180000,-,2174,Strata,01 to 05,2842,Oct-21
106,THE LIGHT @ CAIRNHILL,CAIRNHILL CIRCLE,Condominium,9,CCR,Freehold,Resale,1,3810000,-,1690,Strata,11 to 15,2255,Oct-21
107,1919,SOPHIA ROAD,Apartment,9,CCR,Freehold,Resale,1,1590000,-,850,Strata,01 to 05,1870,Oct-21
108,THE GRANGE,GRANGE GARDEN,Condominium,10,CCR,Freehold,Resale,1,11900000,-,4424,Strata,16 to 20,2690,Oct-21
109,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,Resale,1,1920000,-,1044,Strata,16 to 20,1839,Oct-21
110,OUE TWIN PEAKS,LEONIE HILL ROAD,Condominium,9,CCR,99 yrs lease commencing from 2010,Resale,1,2300000,-,1055,Strata,16 to 20,2180,Oct-21
111,DUO RESIDENCES,FRASER STREET,Apartment,7,CCR,99 yrs lease commencing from 2011,Resale,1,2128888,-,936,Strata,16 to 20,2273,Oct-21
112,ALBA,CAIRNHILL RISE,Apartment,9,CCR,Freehold,Resale,1,4728888,-,2110,Strata,06 to 10,2241,Oct-21
113,DUCHESS RESIDENCES,DUCHESS AVENUE,Condominium,10,CCR,999 yrs lease commencing from 1875,Resale,1,3000000,-,1485,Strata,01 to 05,2020,Oct-21
114,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,Resale,1,10750000,-,2885,Strata,21 to 25,3726,Oct-21
115,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,Resale,1,6550000,-,2486,Strata,06 to 10,2634,Oct-21
116,THE LIGHT @ CAIRNHILL,CAIRNHILL CIRCLE,Condominium,9,CCR,Freehold,Resale,1,3500000,-,1722,Strata,01 to 05,2032,Oct-21
117,MARTIN PLACE RESIDENCES,MARTIN PLACE,Condominium,9,CCR,Freehold,Resale,1,1250000,-,592,Strata,01 to 05,2111,Oct-21
118,MONTVIEW,MOUNT SINAI DRIVE,Condominium,10,CCR,Freehold,Resale,1,2220000,-,1227,Strata,21 to 25,1809,Oct-21
119,FONTANA HEIGHTS,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,Resale,1,6618000,-,3466,Strata,11 to 15,1909,Oct-21
120,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,Resale,1,2700000,-,1733,Strata,01 to 05,1558,Oct-21
121,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,Resale,1,3830000,-,1948,Strata,01 to 05,1966,Oct-21
122,PATERSON SUITES,PATERSON ROAD,Condominium,9,CCR,Freehold,Resale,1,5550000,-,2164,Strata,11 to 15,2565,Oct-21
123,WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,Apartment,9,CCR,Freehold,Resale,1,2550000,-,1313,Strata,01 to 05,1942,Oct-21
124,PARC EMILY,MOUNT EMILY ROAD,Condominium,9,CCR,Freehold,Resale,1,1780000,-,947,Strata,01 to 05,1879,Oct-21
125,SOPHIA RESIDENCE,SOPHIA ROAD,Condominium,9,CCR,Freehold,Resale,1,2280000,-,1604,Strata,01 to 05,1422,Oct-21
126,KERRISDALE,STURDEE ROAD,Condominium,8,RCR,99 yrs lease commencing from 1998,Resale,1,1575000,-,1281,Strata,21 to 25,1230,Oct-21
127,URBAN RESORT CONDOMINIUM,CAIRNHILL ROAD,Condominium,9,CCR,Freehold,Resale,1,6080000,-,2530,Strata,06 to 10,2404,Oct-21
128,THE CORNWALL,CORNWALL GARDENS,Condominium,10,CCR,Freehold,Resale,1,2160000,-,1044,Strata,01 to 05,2069,Oct-21
129,MONTVIEW,MOUNT SINAI DRIVE,Condominium,10,CCR,Freehold,Resale,1,2800000,-,1701,Strata,01 to 05,1646,Oct-21
130,ALLSWORTH PARK,HOLLAND ROAD,Condominium,10,CCR,999 yrs lease commencing from 1885,Resale,1,1780000,-,1033,Strata,11 to 15,1723,Oct-21
131,STUDIOS @ MARNE,MARNE ROAD,Apartment,8,RCR,Freehold,Resale,1,770000,-,506,Strata,06 to 10,1522,Oct-21
132,RIVERIA GARDENS,RIVER VALLEY GROVE,Apartment,9,CCR,Freehold,Resale,1,2228700,-,969,Strata,26 to 30,2301,Oct-21
133,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,Resale,1,2550000,-,1302,Strata,06 to 10,1958,Oct-21
134,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,Resale,1,1450000,-,818,Strata,06 to 10,1772,Oct-21
135,PATERSON SUITES,PATERSON ROAD,Condominium,9,CCR,Freehold,Resale,1,4634040,-,1679,Strata,11 to 15,2760,Oct-21
136,THE SIXTH AVENUE RESIDENCES,SIXTH AVENUE,Condominium,10,CCR,Freehold,Resale,1,4200000,-,3165,Strata,01 to 05,1327,Oct-21
137,PARC EMILY,MOUNT EMILY ROAD,Condominium,9,CCR,Freehold,Resale,1,1130000,-,592,Strata,06 to 10,1909,Oct-21
138,KENTISH COURT,OXFORD ROAD,Apartment,8,RCR,99 yrs lease commencing from 1995,Resale,1,1180000,-,1055,Strata,06 to 10,1119,Oct-21
139,THE DRAYCOTT,DRAYCOTT PARK,Apartment,10,CCR,Freehold,Resale,1,5050000,-,2637,Strata,16 to 20,1915,Sep-21
140,LOFT @ NATHAN,NATHAN ROAD,Apartment,10,CCR,Freehold,Resale,1,790000,-,388,Strata,01 to 05,2039,Sep-21
141,MARTIN EDGE,MARTIN ROAD,Apartment,9,CCR,Freehold,Resale,1,1300000,-,936,Strata,06 to 10,1388,Sep-21
142,THE ORANGE GROVE,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,Resale,1,5050000,-,2691,Strata,01 to 05,1877,Sep-21
143,ZENITH,ZION ROAD,Apartment,10,CCR,999 yrs lease commencing from 1877,Resale,1,910000,-,474,Strata,01 to 05,1921,Sep-21
144,LEONIE PARC VIEW,LEONIE HILL ROAD,Apartment,9,CCR,Freehold,Resale,1,5200000,-,2250,Strata,16 to 20,2311,Sep-21
145,THE PIER AT ROBERTSON,MOHAMED SULTAN ROAD,Apartment,9,CCR,Freehold,Resale,1,1500000,-,732,Strata,06 to 10,2049,Sep-21
146,ONE OXLEY RISE,OXLEY RISE,Apartment,9,CCR,Freehold,Resale,1,1450000,-,753,Strata,01 to 05,1924,Sep-21
147,PINEWOOD GARDENS,BALMORAL PARK,Condominium,10,CCR,Freehold,Resale,1,3349400,-,1625,Strata,01 to 05,2061,Sep-21
148,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,2033000,-,1216,Strata,11 to 15,1671,Sep-21
149,URBAN SUITES,HULLET ROAD,Condominium,9,CCR,Freehold,Resale,1,5000000,-,1604,Strata,11 to 15,3118,Sep-21
150,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,Resale,1,3800000,-,1948,Strata,01 to 05,1950,Sep-21
151,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,Resale,1,2650000,-,1733,Strata,01 to 05,1529,Sep-21
152,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,Resale,1,9700000,-,4607,Strata,01 to 05,2105,Sep-21
153,RANGOON 88,RANGOON ROAD,Apartment,8,RCR,Freehold,Resale,1,710000,-,441,Strata,01 to 05,1609,Sep-21
154,MUTIARA CREST,JALAN MUTIARA,Apartment,10,CCR,Freehold,Resale,1,2500000,-,1313,Strata,11 to 15,1904,Sep-21
155,HILLTOPS,CAIRNHILL CIRCLE,Condominium,9,CCR,Freehold,Resale,1,5668000,-,1733,Strata,01 to 05,3271,Sep-21
156,RESIDENTIAL APARTMENTS,RANGOON ROAD,Apartment,8,RCR,Freehold,Resale,1,1700000,-,1884,Strata,01 to 05,902,Sep-21
157,THE INSPIRA,ARNASALAM CHETTY ROAD,Condominium,9,CCR,Freehold,Resale,1,2620000,-,1216,Strata,06 to 10,2154,Sep-21
158,PATERSON RESIDENCE,PATERSON ROAD,Condominium,9,CCR,Freehold,Resale,1,3195000,-,1313,Strata,01 to 05,2433,Sep-21
159,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,2330000,-,1507,Strata,01 to 05,1546,Sep-21
160,ROBERTSON 100,ROBERTSON QUAY,Apartment,9,CCR,Freehold,Resale,1,2300000,-,1152,Strata,01 to 05,1997,Sep-21
161,FONTANA HEIGHTS,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,Resale,1,8188600,-,4758,Strata,01 to 05,1721,Sep-21
162,RANGOON 88,RANGOON ROAD,Apartment,8,RCR,Freehold,Resale,1,675000,-,441,Strata,01 to 05,1529,Sep-21
163,WHARTON VALE,SOPHIA ROAD,Apartment,9,CCR,Freehold,Resale,1,950000,-,624,Strata,06 to 10,1522,Sep-21
164,CLYDES RESIDENCE,MERGUI ROAD,Apartment,8,RCR,Freehold,Resale,1,1300000,-,1023,Strata,06 to 10,1271,Sep-21
165,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,2300000,-,1206,Strata,01 to 05,1908,Sep-21
166,KIM SIA COURT,JALAN JINTAN,Apartment,9,CCR,Freehold,Resale,1,2100000,-,1066,Strata,06 to 10,1971,Sep-21
167,SIGNATURE AT LEWIS,LEWIS ROAD,Apartment,10,CCR,Freehold,Resale,1,3000000,-,1841,Strata,06 to 10,1630,Sep-21
168,OLEANAS RESIDENCE,KIM YAM ROAD,Condominium,9,CCR,Freehold,Resale,1,3020000,-,1636,Strata,06 to 10,1846,Sep-21
169,UP@ROBERTSON QUAY,ROBERTSON QUAY,Apartment,9,CCR,99 yrs lease commencing from 2011,Resale,1,1128000,-,463,Strata,06 to 10,2437,Sep-21
170,CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 yrs lease commencing from 2004,Resale,1,2000000,-,1356,Strata,11 to 15,1475,Sep-21
171,ARDMORE THREE,ARDMORE PARK,Condominium,10,CCR,Freehold,Resale,1,6500000,-,1776,Strata,06 to 10,3660,Sep-21
172,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1488000,-,786,Strata,31 to 35,1894,Sep-21
173,THE TRILLIUM,KIM SENG ROAD,Condominium,9,CCR,Freehold,Resale,1,6150000,-,2390,Strata,21 to 25,2574,Sep-21
174,HOLLAND RESIDENCES,TAMAN WARNA,Condominium,10,CCR,Freehold,Resale,1,1980000,-,969,Strata,01 to 05,2044,Sep-21
175,SCOTTS SQUARE,SCOTTS ROAD,Apartment,9,CCR,Freehold,Resale,1,2267700,-,624,Strata,31 to 35,3632,Sep-21
176,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1830000,-,1033,Strata,16 to 20,1771,Sep-21
177,SUITES @ OWEN,OWEN ROAD,Apartment,8,RCR,Freehold,Resale,1,600000,-,366,Strata,01 to 05,1639,Sep-21
178,RIVERGATE,ROBERTSON QUAY,Apartment,9,CCR,Freehold,Resale,1,7280000,-,3100,Strata,41 to 45,2348,Sep-21
