S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
13,BAYSHORE PARK,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1982,Resale,1,977000,-,936,Strata,01 to 05,1043,Oct-21
14,KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,2555000,-,2131,Strata,01 to 05,1199,Oct-21
15,FLO RESIDENCE,PUNGGOL FIELD WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,980000,-,936,Strata,11 to 15,1046,Oct-21
16,EASTPOINT GREEN,SIMEI STREET 3,Condominium,18,OCR,99 yrs lease commencing from 1996,Resale,1,718000,-,904,Strata,01 to 05,794,Oct-21
17,THE GALE,FLORA ROAD,Condominium,17,OCR,Freehold,Resale,1,1520000,-,1464,Strata,06 to 10,1038,Oct-21
18,THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,Resale,1,1280000,-,883,Strata,01 to 05,1450,Oct-21
19,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,939000,-,883,Strata,06 to 10,1064,Oct-21
20,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1500000,-,1130,Strata,06 to 10,1327,Oct-21
21,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2009,Resale,1,1130000,-,947,Strata,01 to 05,1193,Oct-21
22,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,970000,-,753,Strata,06 to 10,1287,Oct-21
23,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,Resale,1,1135000,-,678,Strata,11 to 15,1674,Oct-21
24,OASIS @ ELIAS,ELIAS ROAD,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,860000,-,980,Strata,16 to 20,878,Oct-21
25,BEDOK SHOPPING COMPLEX,BEDOK ROAD,Apartment,16,OCR,60 yrs lease commencing from 1977,Resale,1,340000,-,1216,Strata,01 to 05,280,Oct-21
26,KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 yrs lease commencing from 2014,Resale,1,890000,-,721,Strata,06 to 10,1234,Oct-21
27,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,1200000,-,980,Strata,06 to 10,1225,Oct-21
28,THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1993,Resale,1,1200000,-,1184,Strata,01 to 05,1013,Oct-21
29,BAYSHORE PARK,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1982,Resale,1,1210000,-,1173,Strata,21 to 25,1031,Oct-21
30,DAHLIA PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,Freehold,Resale,1,1120000,-,1292,Strata,01 to 05,867,Oct-21
31,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1305000,-,872,Strata,11 to 15,1497,Oct-21
32,RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1220000,-,1141,Strata,06 to 10,1069,Oct-21
33,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,Resale,1,798000,-,463,Strata,11 to 15,1724,Oct-21
34,DOUBLE BAY RESIDENCES,SIMEI STREET 4,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1460000,-,1270,Strata,06 to 10,1149,Oct-21
35,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,Resale,1,900000,-,710,Strata,01 to 05,1267,Oct-21
36,CASA MERAH,TANAH MERAH KECHIL AVENUE,Apartment,16,OCR,99 yrs lease commencing from 2006,Resale,1,1800000,-,1528,Strata,01 to 05,1178,Oct-21
37,PRESTO@UPPER SERANGOON,UPPER SERANGOON ROAD,Apartment,19,OCR,Freehold,Resale,1,900000,-,861,Strata,01 to 05,1045,Oct-21
38,KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 yrs lease commencing from 2014,Resale,1,628000,-,484,Strata,06 to 10,1297,Oct-21
39,EAST MEADOWS,TANAH MERAH KECHIL ROAD,Condominium,16,OCR,99 yrs lease commencing from 1998,Resale,1,1250000,-,1195,Strata,11 to 15,1046,Oct-21
40,BREEZE BY THE EAST,UPPER EAST COAST ROAD,Condominium,16,OCR,Freehold,Resale,1,2950000,-,2368,Strata,01 to 05,1246,Oct-21
41,URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 yrs lease commencing from 2012,Resale,1,1000000,-,797,Strata,01 to 05,1255,Oct-21
42,PARC VERA,HOUGANG STREET 32,Condominium,19,OCR,99 yrs lease commencing from 2010,Resale,1,1288000,-,1302,Strata,01 to 05,989,Oct-21
43,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 yrs lease commencing from 2014,Resale,1,1063000,-,657,Strata,11 to 15,1619,Oct-21
44,THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,838000,-,732,Strata,06 to 10,1145,Oct-21
45,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,2500000,-,2142,Strata,01 to 05,1167,Oct-21
46,VUE 8 RESIDENCE,PASIR RIS HEIGHTS,Condominium,18,OCR,99 yrs lease commencing from 2012,Resale,1,916000,-,775,Strata,11 to 15,1182,Oct-21
47,SEASTRAND,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,645000,-,592,Strata,06 to 10,1089,Oct-21
48,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1200000,-,872,Strata,06 to 10,1376,Oct-21
49,THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,856000,-,743,Strata,11 to 15,1153,Oct-21
50,RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,590000,-,484,Strata,01 to 05,1218,Oct-21
51,RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,855000,-,775,Strata,01 to 05,1103,Oct-21
52,STRATUM,ELIAS ROAD,Condominium,18,OCR,99 yrs lease commencing from 2012,Resale,1,560000,-,474,Strata,01 to 05,1182,Oct-21
53,PARC OLYMPIA,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2012,Resale,1,585000,-,495,Strata,06 to 10,1181,Oct-21
54,THE INFLORA,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2012,Resale,1,800000,-,818,Strata,01 to 05,978,Oct-21
55,HEDGES PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2010,Resale,1,895000,-,872,Strata,06 to 10,1027,Oct-21
56,CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 yrs lease commencing from 2000,Resale,1,1150000,-,1281,Strata,06 to 10,898,Oct-21
57,ONE ROSYTH,ROSYTH ROAD,Apartment,19,OCR,999 yrs lease commencing from 1886,Resale,1,2700000,-,2756,Strata,01 to 05,980,Oct-21
58,KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 yrs lease commencing from 2014,Resale,1,625000,-,484,Strata,11 to 15,1290,Oct-21
59,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2009,Resale,1,1140000,-,904,Strata,11 to 15,1261,Oct-21
60,BALLOTA PARK CONDOMINIUM,MARIAM WAY,Condominium,17,OCR,Freehold,Resale,1,1340000,-,1432,Strata,01 to 05,936,Oct-21
61,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,828000,-,484,Strata,11 to 15,1709,Oct-21
62,D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,1385000,-,1270,Strata,01 to 05,1090,Oct-21
63,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,Resale,1,1600000,-,1023,Strata,01 to 05,1565,Oct-21
64,ARCHIPELAGO,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2011,Resale,1,2365000,-,2142,Strata,01 to 05,1104,Oct-21
65,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1510000,-,1152,Strata,06 to 10,1311,Oct-21
66,TRILIVE,TAMPINES ROAD,Condominium,19,OCR,Freehold,Resale,1,1450000,-,904,Strata,16 to 20,1604,Oct-21
67,TERRASSE,TERRASSE LANE,Condominium,19,OCR,99 yrs lease commencing from 2010,Resale,1,1400000,-,1109,Strata,01 to 05,1263,Oct-21
68,THE GLADES,BEDOK RISE,Condominium,16,OCR,99 yrs lease commencing from 2013,Resale,1,1378000,-,990,Strata,06 to 10,1392,Oct-21
69,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1100000,-,904,Strata,06 to 10,1217,Oct-21
70,THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1188888,-,1001,Strata,01 to 05,1188,Oct-21
71,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1980000,-,1668,Strata,01 to 05,1187,Oct-21
72,NV RESIDENCES,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,798000,-,743,Strata,11 to 15,1074,Oct-21
73,NV RESIDENCES,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,775000,-,797,Strata,01 to 05,973,Oct-21
74,COSTA DEL SOL,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1997,Resale,1,1810000,-,1313,Strata,01 to 05,1378,Oct-21
75,WATERFRONT WAVES,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2007,Resale,1,1900000,-,1636,Strata,01 to 05,1161,Oct-21
76,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2100000,-,1249,Strata,06 to 10,1682,Oct-21
77,BLUWATERS 2,JALAN LOYANG BESAR,Condominium,17,OCR,946 yrs lease commencing from 1938,Resale,1,858000,-,872,Strata,01 to 05,984,Oct-21
78,MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 yrs lease commencing from 1992,Resale,1,690000,-,936,Strata,06 to 10,737,Oct-21
79,EVANIA,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,Resale,1,1820000,-,1841,Strata,06 to 10,989,Oct-21
80,ISUITES @ PALM,GLASGOW ROAD,Apartment,19,OCR,999 yrs lease commencing from 1878,Resale,1,1410000,-,1216,Strata,01 to 05,1159,Oct-21
81,URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 yrs lease commencing from 2012,Resale,1,1138000,-,850,Strata,11 to 15,1338,Oct-21
82,EAST MEADOWS,TANAH MERAH KECHIL ROAD,Condominium,16,OCR,99 yrs lease commencing from 1998,Resale,1,1210000,-,1206,Strata,01 to 05,1004,Oct-21
83,KOVAN REGENCY,KOVAN RISE,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1560000,-,1055,Strata,11 to 15,1479,Oct-21
84,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 yrs lease commencing from 1982,Resale,1,1880000,-,1948,Strata,06 to 10,965,Oct-21
85,NV RESIDENCES,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,800000,-,743,Strata,01 to 05,1077,Oct-21
86,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1200000,-,743,Strata,11 to 15,1616,Oct-21
87,THE GLADES,BEDOK RISE,Condominium,16,OCR,99 yrs lease commencing from 2013,Resale,1,978000,-,667,Strata,06 to 10,1465,Oct-21
88,CHILTERN PARK,SERANGOON AVENUE 3,Condominium,19,OCR,99 yrs lease commencing from 1991,Resale,1,1096170,-,915,Strata,01 to 05,1198,Oct-21
89,BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1230000,-,936,Strata,21 to 25,1313,Oct-21
90,REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 yrs lease commencing from 1996,Resale,1,855000,-,1076,Strata,01 to 05,794,Oct-21
91,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,103 yrs lease commencing from 1977,Resale,1,1660000,-,1798,Strata,01 to 05,923,Oct-21
92,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,2410000,-,1765,Strata,16 to 20,1365,Oct-21
93,PARC CENTROS,PUNGGOL CENTRAL,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,660000,-,463,Strata,11 to 15,1426,Oct-21
94,FLO RESIDENCE,PUNGGOL FIELD WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,938888,-,936,Strata,16 to 20,1003,Oct-21
95,WATERFRONT KEY,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2007,Resale,1,1120888,-,883,Strata,06 to 10,1270,Oct-21
96,PALM ISLES,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2011,Resale,1,970000,-,990,Strata,01 to 05,980,Oct-21
97,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1648000,-,1206,Strata,06 to 10,1367,Oct-21
98,FERRARIA PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,Freehold,Resale,1,878000,-,883,Strata,01 to 05,995,Oct-21
99,RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,2688000,-,2669,Strata,11 to 15,1007,Oct-21
100,IDYLLIC EAST,UPPER EAST COAST ROAD,Apartment,16,OCR,Freehold,Resale,1,1300000,-,980,Strata,01 to 05,1327,Oct-21
101,RIS GRANDEUR,ELIAS ROAD,Condominium,18,OCR,Freehold,Resale,1,1600000,-,1539,Strata,06 to 10,1039,Oct-21
102,WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,823500,-,570,Strata,06 to 10,1443,Oct-21
103,D'ZIRE,ROBEY CRESCENT,Apartment,19,OCR,999 yrs lease commencing from 1875,Resale,1,600000,-,431,Strata,01 to 05,1394,Oct-21
104,BARTLEY RESIDENCES,LORONG HOW SUN,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,2367500,-,1808,Strata,11 to 15,1309,Oct-21
105,THE FLORENTINE,FLORENCE ROAD,Apartment,19,OCR,947 yrs lease commencing from 1934,Resale,1,1830000,-,1787,Strata,01 to 05,1024,Oct-21
106,D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,840000,-,753,Strata,01 to 05,1115,Oct-21
107,BAYSHORE PARK,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1982,Resale,1,1280000,-,1173,Strata,26 to 30,1091,Oct-21
108,WATERFRONT WAVES,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2007,Resale,1,1500000,-,1249,Strata,06 to 10,1201,Oct-21
109,WATERFRONT KEY,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2007,Resale,1,1670000,-,1442,Strata,01 to 05,1158,Oct-21
110,GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 yrs lease commencing from 2016,Resale,1,756000,-,560,Strata,06 to 10,1351,Oct-21
111,OASIS GARDEN,JALAN BUNGA RAMPAI,Condominium,19,RCR,Freehold,Resale,1,1653000,-,1216,Strata,11 to 15,1359,Oct-21
112,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,900000,-,775,Strata,01 to 05,1161,Oct-21
113,RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,815000,-,786,Strata,01 to 05,1037,Oct-21
114,D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,863000,-,753,Strata,01 to 05,1145,Oct-21
115,EASTPOINT GREEN,SIMEI STREET 3,Condominium,18,OCR,99 yrs lease commencing from 1996,Resale,1,930000,-,1141,Strata,01 to 05,815,Oct-21
116,PALM ISLES,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2011,Resale,1,1318000,-,1324,Strata,01 to 05,995,Oct-21
117,EDELWEISS PARK CONDOMINIUM,FLORA ROAD,Condominium,17,OCR,Freehold,Resale,1,2030000,-,2691,Strata,06 to 10,754,Oct-21
118,THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 yrs lease commencing from 2012,Resale,1,1250000,-,732,Strata,11 to 15,1708,Oct-21
119,EDEN CREST,EDEN GROVE,Apartment,19,OCR,Freehold,Resale,1,1270000,-,969,Strata,01 to 05,1311,Oct-21
120,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,1750000,-,1884,Strata,01 to 05,929,Oct-21
121,BAYSHORE PARK,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1982,Resale,1,2330000,-,2196,Strata,21 to 25,1061,Oct-21
122,ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 yrs lease commencing from 2012,Resale,1,815000,-,592,Strata,11 to 15,1377,Oct-21
123,ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 yrs lease commencing from 2012,Resale,1,738000,-,581,Strata,06 to 10,1270,Oct-21
124,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1620000,-,1259,Strata,06 to 10,1286,Oct-21
125,SEASTRAND,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,645000,-,592,Strata,06 to 10,1089,Oct-21
126,RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1210000,-,1066,Strata,16 to 20,1135,Oct-21
127,THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 yrs lease commencing from 2013,Resale,1,615000,-,527,Strata,01 to 05,1166,Oct-21
128,PALM ISLES,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2011,Resale,1,760000,-,786,Strata,01 to 05,967,Oct-21
129,CARISSA PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,Freehold,Resale,1,895000,-,1001,Strata,01 to 05,894,Oct-21
130,AMARANDA GARDENS,SERANGOON AVENUE 3,Condominium,19,OCR,Freehold,Resale,1,1918000,-,1259,Strata,01 to 05,1523,Oct-21
131,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1550000,-,1206,Strata,06 to 10,1286,Oct-21
132,THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 yrs lease commencing from 2012,Resale,1,1250000,-,732,Strata,16 to 20,1708,Oct-21
133,KINGSGROVE,ANG MO KIO AVENUE 1,Condominium,20,OCR,Freehold,Resale,1,1530000,-,1367,Strata,01 to 05,1119,Oct-21
134,THE STRADIA,YIO CHU KANG ROAD,Apartment,19,OCR,Freehold,Resale,1,1380000,-,1518,Strata,01 to 05,909,Oct-21
135,RESIDENTIAL APARTMENTS,UPPER SERANGOON ROAD,Apartment,19,OCR,Freehold,Resale,1,1200000,-,1216,Strata,01 to 05,987,Oct-21
136,TREASURE MANSIONS,ROSYTH AVENUE,Apartment,19,OCR,Freehold,Resale,1,928000,-,861,Strata,01 to 05,1078,Oct-21
137,HARMONY @ 1A,LIM AH PIN ROAD,Apartment,19,OCR,Freehold,Resale,1,1188000,-,969,Strata,01 to 05,1226,Oct-21
138,REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 yrs lease commencing from 1996,Resale,1,807500,-,980,Strata,06 to 10,824,Oct-21
139,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,Resale,1,1150000,-,915,Strata,01 to 05,1257,Oct-21
140,WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,1720000,-,1119,Strata,06 to 10,1536,Oct-21
141,BALLOTA PARK CONDOMINIUM,MARIAM WAY,Condominium,17,OCR,Freehold,Resale,1,1575000,-,1862,Strata,01 to 05,846,Oct-21
142,WATERFRONT KEY,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2007,Resale,1,1880000,-,1518,Strata,11 to 15,1239,Oct-21
143,THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1993,Resale,1,990000,-,926,Strata,21 to 25,1069,Oct-21
144,RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,810000,-,775,Strata,06 to 10,1045,Oct-21
145,THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 yrs lease commencing from 2013,Resale,1,1110000,-,915,Strata,06 to 10,1213,Oct-21
146,RIS GRANDEUR,ELIAS ROAD,Condominium,18,OCR,Freehold,Resale,1,1603888,-,1399,Strata,11 to 15,1146,Oct-21
147,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,712000,-,495,Strata,11 to 15,1438,Oct-21
148,D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,810000,-,753,Strata,01 to 05,1075,Oct-21
149,THE WATERLINE,POH HUAT ROAD WEST,Condominium,19,OCR,Freehold,Resale,1,640000,-,517,Strata,01 to 05,1239,Oct-21
150,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,965000,-,753,Strata,06 to 10,1281,Oct-21
151,EASTPOINT GREEN,SIMEI STREET 3,Condominium,18,OCR,99 yrs lease commencing from 1996,Resale,1,943000,-,1130,Strata,06 to 10,834,Oct-21
152,DOUBLE BAY RESIDENCES,SIMEI STREET 4,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1480000,-,1313,Strata,06 to 10,1127,Oct-21
153,BAYWATER,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2001,Resale,1,1410088,-,1292,Strata,06 to 10,1092,Oct-21
154,HEDGES PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2010,Resale,1,602500,-,484,Strata,01 to 05,1244,Oct-21
155,AZALEA PARK CONDOMINIUM,FLORA ROAD,Condominium,17,OCR,999 yrs lease commencing from 1885,Resale,1,1150000,-,1335,Strata,01 to 05,862,Oct-21
156,THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 yrs lease commencing from 2013,Resale,1,1370000,-,1119,Strata,11 to 15,1224,Oct-21
157,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1200000,-,710,Strata,26 to 30,1689,Oct-21
158,OASIS @ ELIAS,ELIAS ROAD,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1040000,-,1206,Strata,16 to 20,863,Oct-21
159,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1440000,-,1206,Strata,11 to 15,1194,Oct-21
160,EASTWOOD REGENCY,EASTWOOD ROAD,Apartment,16,OCR,Freehold,Resale,1,800000,-,506,Strata,01 to 05,1581,Oct-21
161,FIORENZA,FLORENCE ROAD,Apartment,19,OCR,Freehold,Resale,1,1752000,-,1346,Strata,01 to 05,1302,Oct-21
162,THE WATERLINE,POH HUAT ROAD WEST,Condominium,19,OCR,Freehold,Resale,1,1030000,-,883,Strata,01 to 05,1167,Oct-21
163,ARCHIPELAGO,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2011,Resale,1,1493000,-,1184,Strata,01 to 05,1261,Oct-21
164,HILBRE28,HILLSIDE DRIVE,Apartment,19,OCR,999 yrs lease commencing from 1876,Resale,1,1250000,-,861,Strata,01 to 05,1452,Oct-21
165,THE QUINN,BARTLEY ROAD,Apartment,19,OCR,Freehold,Resale,1,1641728,-,1744,Strata,01 to 05,941,Oct-21
166,THE QUINN,BARTLEY ROAD,Apartment,19,OCR,Freehold,Resale,1,1408272,-,1496,Strata,01 to 05,941,Oct-21
167,HEDGES PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2010,Resale,1,782000,-,797,Strata,01 to 05,982,Oct-21
