S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,891888,-,980,Strata,01 to 05,911,Oct-21
2,URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 yrs lease commencing from 2012,Resale,1,868000,-,624,Strata,06 to 10,1390,Oct-21
3,SUNHAVEN,UPPER CHANGI ROAD EAST,Condominium,16,OCR,Freehold,Resale,1,1560000,-,1755,Strata,06 to 10,889,Oct-21
4,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,2200000,-,2605,Strata,01 to 05,845,Oct-21
5,DOUBLE BAY RESIDENCES,SIMEI STREET 4,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1380000,-,1259,Strata,06 to 10,1096,Oct-21
6,THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,855000,-,753,Strata,11 to 15,1135,Oct-21
7,SUNGLADE,SERANGOON AVENUE 2,Condominium,19,OCR,99 yrs lease commencing from 2000,Resale,1,1400000,-,1163,Strata,06 to 10,1204,Oct-21
8,THE SUNNYDALE,SERANGOON AVENUE 3,Condominium,19,OCR,99 yrs lease commencing from 1997,Resale,1,1060000,-,1044,Strata,01 to 05,1015,Oct-21
9,PARC VERA,HOUGANG STREET 32,Condominium,19,OCR,99 yrs lease commencing from 2010,Resale,1,1238000,-,1141,Strata,01 to 05,1085,Oct-21
10,FAIRMOUNT CONDOMINIUM,EASTWOOD ROAD,Condominium,16,OCR,99 yrs lease commencing from 1996,Resale,1,920000,-,904,Strata,01 to 05,1018,Oct-21
11,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1550000,-,1367,Strata,06 to 10,1134,Oct-21
12,CARDIFF RESIDENCE,CARDIFF GROVE,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,599000,-,431,Strata,01 to 05,1391,Oct-21
