S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,KATONG REGENCY,TANJONG KATONG ROAD,Apartment,15,RCR,Freehold,Resale,1,2600000,-,1389,Strata,06 to 10,1872,Oct-21
2,SANCTUARY GREEN,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1997,Resale,1,1110000,-,775,Strata,06 to 10,1432,Oct-21
3,PINNACLE 16,SHAN ROAD,Apartment,12,RCR,Freehold,Resale,1,880000,-,581,Strata,11 to 15,1514,Oct-21
4,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1580000,-,958,Strata,06 to 10,1649,Oct-21
5,NEWTON 21,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,4380000,-,3068,Strata,21 to 25,1428,Oct-21
6,PRESTIGE HEIGHTS,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,570000,-,334,Strata,16 to 20,1708,Oct-21
7,VILLA MARINA,JALAN SEMPADAN,Condominium,15,OCR,99 yrs lease commencing from 1995,Resale,1,1300000,-,1130,Strata,01 to 05,1150,Oct-21
8,D'CHATEAU @ SHELFORD,SHELFORD ROAD,Apartment,11,CCR,Freehold,Resale,1,3400000,-,2863,Strata,01 to 05,1187,Oct-21
9,THE COTZ,TELOK KURAU ROAD,Apartment,15,OCR,Freehold,Resale,1,565000,-,388,Strata,01 to 05,1458,Oct-21
10,THREE BUCKLEY,BUCKLEY ROAD,Apartment,11,CCR,Freehold,Resale,1,3600000,-,2368,Strata,01 to 05,1520,Oct-21
11,AMBER SKYE,AMBER ROAD,Apartment,15,RCR,Freehold,Resale,1,2191500,-,1216,Strata,01 to 05,1802,Oct-21
12,MANDARIN GARDENS,SIGLAP ROAD,Condominium,15,OCR,99 yrs lease commencing from 1982,Resale,1,1125000,-,829,Strata,16 to 20,1357,Oct-21
13,REZI 26,LORONG 26 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,660000,-,484,Strata,06 to 10,1363,Oct-21
14,368 THOMSON,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,1112000,-,689,Strata,16 to 20,1614,Oct-21
15,VILLA MARINA,JALAN SEMPADAN,Condominium,15,OCR,99 yrs lease commencing from 1995,Resale,1,1300000,-,1130,Strata,01 to 05,1150,Oct-21
16,MIRO,LINCOLN ROAD,Apartment,11,CCR,Freehold,Resale,1,2000000,-,1346,Strata,11 to 15,1486,Oct-21
17,KATONG REGENCY,TANJONG KATONG ROAD,Apartment,15,RCR,Freehold,Resale,1,1051000,-,560,Strata,11 to 15,1878,Oct-21
18,PARC ELEGANCE,TELOK KURAU ROAD,Apartment,15,OCR,Freehold,Resale,1,628000,-,474,Strata,01 to 05,1326,Oct-21
19,SILVERSEA,MARINE PARADE ROAD,Condominium,15,RCR,99 yrs lease commencing from 2007,Resale,1,2500000,-,1582,Strata,01 to 05,1580,Oct-21
20,MILLAGE,CHANGI ROAD,Apartment,14,RCR,Freehold,Resale,1,1168000,-,947,Strata,06 to 10,1233,Oct-21
21,THE BELLEFORTE,AH HOOD ROAD,Apartment,12,RCR,Freehold,Resale,1,1880000,-,1335,Strata,11 to 15,1409,Oct-21
22,THE VENUE RESIDENCES,TAI THONG CRESCENT,Apartment,13,RCR,99 yrs lease commencing from 2012,Resale,1,1850000,-,1238,Strata,11 to 15,1495,Oct-21
23,CHAPEL COURT,SEA AVENUE,Apartment,15,RCR,Freehold,Resale,1,2070000,-,1690,Strata,01 to 05,1225,Oct-21
24,SERAYA VILLE,SERAYA LANE,Apartment,15,RCR,Freehold,Resale,1,1818000,-,1432,Strata,01 to 05,1270,Oct-21
25,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1938000,-,1206,Strata,11 to 15,1608,Oct-21
26,BEACON HEIGHTS,MAR THOMA ROAD,Condominium,12,RCR,999 yrs lease commencing from 1882,Resale,1,1390000,-,1109,Strata,16 to 20,1254,Oct-21
27,SENNETT RESIDENCE,PHENG GECK AVENUE,Condominium,13,RCR,99 yrs lease commencing from 2011,Resale,1,913000,-,592,Strata,01 to 05,1542,Oct-21
28,SENNETT RESIDENCE,PHENG GECK AVENUE,Condominium,13,RCR,99 yrs lease commencing from 2011,Resale,1,818000,-,506,Strata,01 to 05,1617,Oct-21
29,THE AMERY,LORONG K TELOK KURAU,Condominium,15,OCR,Freehold,Resale,1,2540000,-,2024,Strata,01 to 05,1255,Oct-21
30,ONE @ PULASAN,PULASAN ROAD,Apartment,15,RCR,Freehold,Resale,1,1280000,-,1033,Strata,01 to 05,1239,Oct-21
31,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,780000,-,818,Strata,01 to 05,953,Oct-21
32,ECOVILLE,MARTABAN ROAD,Apartment,12,RCR,Freehold,Resale,1,1730000,-,1184,Strata,11 to 15,1461,Oct-21
33,CITY REGENCY,ST. MICHAEL'S ROAD,Apartment,12,RCR,Freehold,Resale,1,1088000,-,850,Strata,11 to 15,1279,Oct-21
34,THE MEZZO,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,1278888,-,840,Strata,26 to 30,1523,Oct-21
35,OLA RESIDENCES,MOUNTBATTEN ROAD,Condominium,15,RCR,Freehold,Resale,1,2700000,-,1636,Strata,01 to 05,1650,Oct-21
36,D'LOTUS,LORONG AMPAS,Apartment,12,RCR,Freehold,Resale,1,1468888,-,1066,Strata,01 to 05,1378,Oct-21
37,QUESTA @ DUNMAN,DUNMAN ROAD,Apartment,15,RCR,Freehold,Resale,1,1306000,-,807,Strata,06 to 10,1618,Oct-21
38,STARVILLE,LENGKONG TIGA,Condominium,14,OCR,Freehold,Resale,1,1606668,-,1755,Strata,01 to 05,916,Oct-21
39,TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1500000,-,947,Strata,06 to 10,1584,Oct-21
40,EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 yrs lease commencing from 2010,Resale,1,693000,-,560,Strata,01 to 05,1238,Oct-21
41,KINGSTON TERRACE,JALAN MASJID,Apartment,14,OCR,Freehold,Resale,1,1370000,-,1324,Strata,01 to 05,1035,Oct-21
42,AIRSTREAM,ST. MICHAEL'S ROAD,Apartment,12,RCR,Freehold,Resale,1,690000,-,474,Strata,06 to 10,1457,Oct-21
43,COSTA RHU,RHU CROSS,Condominium,15,RCR,99 yrs lease commencing from 1994,Resale,1,1675000,-,1744,Strata,01 to 05,961,Oct-21
44,LAGOON VIEW,MARINE PARADE ROAD,Apartment,15,OCR,99 yrs lease commencing from 1977,Resale,1,1880000,-,1647,Strata,11 to 15,1142,Oct-21
45,VACANZA @ EAST,LENGKONG TUJOH,Condominium,14,OCR,Freehold,Resale,1,732000,-,560,Strata,11 to 15,1308,Oct-21
46,THE SHORE RESIDENCES,AMBER ROAD,Condominium,15,RCR,103 yrs lease commencing from 2009,Resale,1,1490000,-,872,Strata,11 to 15,1709,Oct-21
47,THE GLACIER,JOO CHIAT PLACE,Apartment,15,OCR,Freehold,Resale,1,1790000,-,1410,Strata,01 to 05,1269,Oct-21
48,GUILLEMARD EDGE,LORONG 30 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,618000,-,409,Strata,01 to 05,1511,Oct-21
49,THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 yrs lease commencing from 2014,Resale,1,1320000,-,753,Strata,06 to 10,1752,Oct-21
50,SEVENTY SAINT PATRICK'S,ST. PATRICK'S ROAD,Condominium,15,OCR,Freehold,Resale,1,2300000,-,1346,Strata,01 to 05,1709,Oct-21
51,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,1085000,-,657,Strata,11 to 15,1652,Oct-21
52,EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 yrs lease commencing from 2010,Resale,1,765000,-,614,Strata,01 to 05,1247,Oct-21
53,FLAMINGO VALLEY,SIGLAP ROAD,Condominium,15,OCR,Freehold,Resale,1,1450000,-,958,Strata,01 to 05,1514,Oct-21
54,THE WATERSIDE,TANJONG RHU ROAD,Condominium,15,RCR,Freehold,Resale,1,4570000,-,2433,Strata,21 to 25,1879,Oct-21
55,EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,1060000,-,700,Strata,11 to 15,1515,Oct-21
56,GUILLEMARD EDGE,LORONG 30 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,795000,-,861,Strata,06 to 10,923,Oct-21
57,THE INTERWEAVE,KIM KEAT ROAD,Apartment,12,RCR,Freehold,Resale,1,588000,-,377,Strata,11 to 15,1561,Oct-21
58,SUITES @ TOPAZ,TOPAZ ROAD,Apartment,12,RCR,Freehold,Resale,1,750000,-,667,Strata,01 to 05,1124,Oct-21
59,THE ALCOVE,LORONG 27 GEYLANG,Apartment,14,RCR,99 yrs lease commencing from 2000,Resale,1,975000,-,1066,Strata,06 to 10,915,Oct-21
60,SINGA HILLS,JALAN SINGA,Apartment,14,OCR,Freehold,Resale,1,1100000,-,829,Strata,01 to 05,1327,Oct-21
61,VERSILIA ON HAIG,IPOH LANE,Condominium,15,RCR,Freehold,Resale,1,1900000,-,1130,Strata,16 to 20,1681,Oct-21
62,TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1500000,-,947,Strata,11 to 15,1584,Oct-21
63,FLAMINGO VALLEY,SIGLAP ROAD,Condominium,15,OCR,Freehold,Resale,1,1920000,-,1206,Strata,01 to 05,1593,Oct-21
64,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,1720000,-,1259,Strata,06 to 10,1366,Oct-21
65,THE SHELFORD,SHELFORD ROAD,Condominium,11,CCR,Freehold,Resale,1,3220000,-,1593,Strata,01 to 05,2021,Oct-21
66,HAIG 162,HAIG ROAD,Apartment,15,RCR,Freehold,Resale,1,731000,-,495,Strata,01 to 05,1476,Oct-21
67,CHELSEA LODGE,TANJONG KATONG ROAD,Apartment,15,RCR,Freehold,Resale,1,1505000,-,1238,Strata,01 to 05,1216,Oct-21
68,GARDEN PARK RESIDENCES,LORONG M TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,2110000,-,1625,Strata,01 to 05,1298,Oct-21
69,EVELYN MANSIONS,EVELYN ROAD,Apartment,11,CCR,Freehold,Resale,1,1520000,-,797,Strata,06 to 10,1908,Oct-21
70,AMARYLLIS VILLE,NEWTON ROAD,Condominium,11,CCR,99 yrs lease commencing from 1997,Resale,1,1690000,-,958,Strata,16 to 20,1764,Oct-21
71,THE SHORE RESIDENCES,AMBER ROAD,Condominium,15,RCR,103 yrs lease commencing from 2009,Resale,1,1580000,-,893,Strata,16 to 20,1769,Oct-21
72,BUTTERWORTH 8,BUTTERWORTH LANE,Condominium,15,RCR,Freehold,Resale,1,2550000,-,1464,Strata,11 to 15,1742,Oct-21
73,SKY@ELEVEN,THOMSON LANE,Condominium,11,CCR,Freehold,Resale,1,4630000,-,2713,Strata,06 to 10,1707,Oct-21
74,AMANINDA,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,1815000,-,1216,Strata,01 to 05,1492,Oct-21
75,MANDARIN GARDENS,SIGLAP ROAD,Condominium,15,OCR,99 yrs lease commencing from 1982,Resale,1,1628000,-,1528,Strata,01 to 05,1065,Oct-21
76,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,770000,-,463,Strata,06 to 10,1664,Oct-21
77,BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,1585000,-,1044,Strata,06 to 10,1518,Oct-21
78,MOONSTONE VIEW,MOONSTONE LANE,Apartment,12,RCR,Freehold,Resale,1,1120000,-,850,Strata,01 to 05,1317,Oct-21
79,THE SUNNY SPRING,LORONG 40 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,1630000,-,1593,Strata,01 to 05,1023,Oct-21
80,THE MEZZO,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,1240000,-,840,Strata,11 to 15,1477,Oct-21
