S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
81,SIMS MEADOWS,LORONG 33 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,1100000,-,1076,Strata,01 to 05,1022,Oct-21
82,PEBBLE BAY,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1994,Resale,1,3220000,-,1894,Strata,06 to 10,1700,Oct-21
83,FERNWOOD TOWERS,FERNWOOD TERRACE,Condominium,15,OCR,Freehold,Resale,1,2600000,-,1636,Strata,16 to 20,1589,Oct-21
84,ONE FORT,FORT ROAD,Condominium,15,RCR,Freehold,Resale,1,1920000,-,1227,Strata,06 to 10,1565,Oct-21
85,BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,1690000,-,1173,Strata,01 to 05,1440,Oct-21
86,VIBES @ EAST COAST,TELOK KURAU ROAD,Apartment,15,OCR,Freehold,Resale,1,635000,-,420,Strata,01 to 05,1513,Oct-21
87,THE CITRINE,JALAN DATOH,Apartment,12,RCR,Freehold,Resale,1,1250000,-,958,Strata,01 to 05,1305,Oct-21
88,E MAISON,BRADDELL ROAD,Apartment,13,OCR,Freehold,Resale,1,778000,-,570,Strata,01 to 05,1364,Oct-21
89,SUNSHINE MANSIONS,JOO CHIAT PLACE,Apartment,15,OCR,Freehold,Resale,1,1080000,-,818,Strata,01 to 05,1320,Oct-21
90,WING FONG MANSIONS,LORONG 14 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,1050000,-,1238,Strata,01 to 05,848,Oct-21
91,ASTORIA PARK,LORONG MYDIN,Condominium,14,OCR,99 yrs lease commencing from 1993,Resale,1,1250000,-,1195,Strata,06 to 10,1046,Oct-21
92,THE SEAFRONT ON MEYER,MEYER ROAD,Condominium,15,RCR,Freehold,Resale,1,3000000,-,1604,Strata,01 to 05,1871,Oct-21
93,ONE AMBER,AMBER GARDENS,Condominium,15,RCR,Freehold,Resale,1,2439000,-,1281,Strata,21 to 25,1904,Oct-21
94,EN FU MANSIONS,LORONG 33 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,1100000,-,1313,Strata,01 to 05,838,Oct-21
95,EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,768000,-,441,Strata,21 to 25,1740,Oct-21
96,WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 yrs lease commencing from 2009,Resale,1,2220000,-,1281,Strata,16 to 20,1733,Oct-21
97,RESIDENCES @ EVELYN,EVELYN ROAD,Condominium,11,CCR,Freehold,Resale,1,4775000,-,2250,Strata,11 to 15,2123,Oct-21
98,6 DERBYSHIRE,DERBYSHIRE ROAD,Condominium,11,CCR,Freehold,Resale,1,2190000,-,1012,Strata,21 to 25,2164,Oct-21
99,KATONG REGENCY,TANJONG KATONG ROAD,Apartment,15,RCR,Freehold,Resale,1,1800000,-,990,Strata,06 to 10,1818,Oct-21
100,THE HELICONIA,JALAN DAUD,Condominium,14,OCR,Freehold,Resale,1,1370000,-,1313,Strata,01 to 05,1043,Oct-21
101,CENTRA STUDIOS,LORONG 25 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,570000,-,377,Strata,01 to 05,1513,Oct-21
102,SIMS GREEN,LORONG 27A GEYLANG,Apartment,14,RCR,99 yrs lease commencing from 2001,Resale,1,1220000,-,1238,Strata,01 to 05,986,Oct-21
103,CENTRA RESIDENCE,LORONG 7 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,625000,-,452,Strata,06 to 10,1382,Oct-21
104,THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 yrs lease commencing from 2014,Resale,1,1020000,-,581,Strata,11 to 15,1755,Oct-21
105,E MAISON,BRADDELL ROAD,Apartment,13,OCR,Freehold,Resale,1,799000,-,581,Strata,01 to 05,1375,Oct-21
106,THREE BUCKLEY,BUCKLEY ROAD,Apartment,11,CCR,Freehold,Resale,1,3428000,-,2239,Strata,01 to 05,1531,Oct-21
107,NEPTUNE COURT,MARINE VISTA,Apartment,15,OCR,99 yrs lease commencing from 1975,Resale,1,1500000,-,1636,Strata,01 to 05,917,Oct-21
108,SILVERSEA,MARINE PARADE ROAD,Condominium,15,RCR,99 yrs lease commencing from 2007,Resale,1,2700000,-,1507,Strata,01 to 05,1792,Oct-21
109,BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,738000,-,463,Strata,11 to 15,1594,Oct-21
110,ASTOR,LENGKONG EMPAT,Apartment,14,OCR,99 yrs lease commencing from 2002,Resale,1,825000,-,872,Strata,01 to 05,946,Oct-21
111,GEYLANG HERITAGE,LORONG 34 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,1140000,-,1173,Strata,06 to 10,972,Oct-21
112,HILLCREST ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 yrs lease commencing from 1975,Resale,1,1120000,-,1098,Strata,01 to 05,1020,Oct-21
113,THE LINE @ TANJONG RHU,TANJONG RHU ROAD,Condominium,15,RCR,Freehold,Resale,1,2287240,-,1055,Strata,06 to 10,2168,Oct-21
114,STARVILLE,LENGKONG TIGA,Condominium,14,OCR,Freehold,Resale,1,745000,-,538,Strata,06 to 10,1384,Oct-21
115,THOMSON EURO-ASIA,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,2288000,-,1130,Strata,06 to 10,2024,Oct-21
116,CRESCENDO PARK,JALAN TUA KONG,Condominium,15,OCR,Freehold,Resale,1,2752000,-,2088,Strata,01 to 05,1318,Oct-21
117,MONTEBLEU,MINBU ROAD,Condominium,11,CCR,Freehold,Resale,1,2650000,-,1755,Strata,01 to 05,1510,Oct-21
118,SEVENTY SAINT PATRICK'S,ST. PATRICK'S ROAD,Condominium,15,OCR,Freehold,Resale,1,1860000,-,1033,Strata,01 to 05,1800,Oct-21
119,CHELSEA LODGE,TANJONG KATONG ROAD,Apartment,15,RCR,Freehold,Resale,1,1128000,-,958,Strata,01 to 05,1177,Oct-21
120,KOON SENG COURT,KOON SENG ROAD,Apartment,15,RCR,Freehold,Resale,1,1472358,-,1238,Strata,01 to 05,1189,Oct-21
121,ASTORIA PARK,LORONG MYDIN,Condominium,14,OCR,99 yrs lease commencing from 1993,Resale,1,1020000,-,1001,Strata,06 to 10,1019,Oct-21
122,KOON SENG COURT,KOON SENG ROAD,Apartment,15,RCR,Freehold,Resale,1,1418662,-,1152,Strata,01 to 05,1232,Oct-21
123,KOON SENG COURT,KOON SENG ROAD,Apartment,15,RCR,Freehold,Resale,1,995158,-,753,Strata,01 to 05,1321,Oct-21
124,KOON SENG COURT,KOON SENG ROAD,Apartment,15,RCR,Freehold,Resale,1,995158,-,753,Strata,01 to 05,1321,Oct-21
125,REGENT RESIDENCES,SERANGOON ROAD,Apartment,12,RCR,Freehold,Resale,1,1168000,-,818,Strata,11 to 15,1428,Oct-21
126,LA FLEUR,LORONG 26 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,600000,-,463,Strata,06 to 10,1296,Oct-21
127,THE AMBROSIA,LORONG N TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,1800000,-,1292,Strata,01 to 05,1394,Oct-21
128,LAGOON VIEW,MARINE PARADE ROAD,Apartment,15,OCR,99 yrs lease commencing from 1977,Resale,1,1780000,-,1647,Strata,11 to 15,1081,Oct-21
129,THE SUNNIDORA,LORONG G TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,1099999,-,861,Strata,01 to 05,1277,Oct-21
130,LAVERNE'S LOFT,LORONG L TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,639999,-,441,Strata,01 to 05,1450,Oct-21
131,BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,718000,-,463,Strata,06 to 10,1551,Oct-21
132,ONE AKYAB,AKYAB ROAD,Apartment,11,CCR,Freehold,Resale,1,2308888,-,1830,Strata,01 to 05,1262,Oct-21
133,WHITESCAPE,LORONG N TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,1490000,-,1356,Strata,01 to 05,1099,Oct-21
134,PEBBLE BAY,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1994,Resale,1,3325000,-,1894,Strata,11 to 15,1755,Oct-21
135,BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,1080000,-,732,Strata,06 to 10,1476,Oct-21
136,LE CRESCENDO,PAYA LEBAR ROAD,Condominium,14,RCR,Freehold,Resale,1,1638000,-,1184,Strata,01 to 05,1383,Oct-21
137,SHELFORD REGENCY,SHELFORD ROAD,Condominium,11,CCR,Freehold,Resale,1,1680000,-,1066,Strata,01 to 05,1577,Oct-21
138,KOON SENG COURT,KOON SENG ROAD,Apartment,15,RCR,Freehold,Resale,1,1418662,-,1152,Strata,01 to 05,1232,Oct-21
139,NIN RESIDENCE,PHENG GECK AVENUE,Apartment,13,RCR,99 yrs lease commencing from 2010,Resale,1,1200000,-,904,Strata,01 to 05,1327,Oct-21
140,IRESIDENCES,IRRAWADDY ROAD,Apartment,12,RCR,Freehold,Resale,1,2088000,-,1346,Strata,11 to 15,1552,Oct-21
141,SKYSUITES17,JALAN RAJAH,Apartment,12,RCR,Freehold,Resale,1,631900,-,355,Strata,21 to 25,1779,Oct-21
142,CENTRA LOFT,LORONG 35 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,650000,-,474,Strata,06 to 10,1372,Oct-21
143,THE AXIS,MANDALAY ROAD,Apartment,11,CCR,Freehold,Resale,1,1100000,-,753,Strata,11 to 15,1460,Oct-21
144,THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 yrs lease commencing from 2014,Resale,1,970000,-,581,Strata,01 to 05,1669,Oct-21
145,WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 yrs lease commencing from 2009,Resale,1,1085000,-,624,Strata,06 to 10,1738,Oct-21
146,EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 yrs lease commencing from 2010,Resale,1,688000,-,538,Strata,01 to 05,1278,Oct-21
147,SIGLAP V,FIRST STREET,Apartment,15,OCR,Freehold,Resale,1,600000,-,452,Strata,01 to 05,1327,Oct-21
148,8@WOODLEIGH,WOODLEIGH CLOSE,Condominium,13,RCR,99 yrs lease commencing from 2008,Resale,1,1700000,-,1098,Strata,01 to 05,1548,Oct-21
149,AMANINDA,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,1048000,-,678,Strata,01 to 05,1545,Oct-21
150,VACANZA @ EAST,LENGKONG TUJOH,Condominium,14,OCR,Freehold,Resale,1,1280000,-,1023,Strata,01 to 05,1252,Oct-21
151,THE SEA VIEW,AMBER ROAD,Condominium,15,RCR,Freehold,Resale,1,3400000,-,1647,Strata,11 to 15,2064,Oct-21
152,ST FRANCIS COURT,ST. FRANCIS ROAD,Apartment,12,RCR,99 yrs lease commencing from 1992,Resale,1,1052000,-,1270,Strata,11 to 15,828,Oct-21
153,SUNVILLE,ST. MICHAEL'S ROAD,Apartment,12,RCR,Freehold,Resale,1,1428000,-,1259,Strata,01 to 05,1134,Oct-21
154,SANCTUARY GREEN,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1997,Resale,1,1800000,-,1356,Strata,11 to 15,1327,Oct-21
155,VILLA MARINA,JALAN SEMPADAN,Condominium,15,OCR,99 yrs lease commencing from 1995,Resale,1,1270000,-,1087,Strata,01 to 05,1168,Oct-21
156,THOMSON EURO-ASIA,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,2350000,-,1130,Strata,16 to 20,2079,Oct-21
157,BERKELEY RESIDENCES,LORONG N TELOK KURAU,Apartment,15,OCR,Freehold,Resale,1,1250000,-,764,Strata,01 to 05,1636,Oct-21
158,ONE AMBER,AMBER GARDENS,Condominium,15,RCR,Freehold,Resale,1,2488000,-,1389,Strata,06 to 10,1792,Oct-21
159,FORT GARDENS,FORT ROAD,Condominium,15,RCR,Freehold,Resale,1,2165000,-,1346,Strata,06 to 10,1609,Oct-21
160,TRILIGHT,NEWTON ROAD,Condominium,11,CCR,Freehold,Resale,1,2510000,-,1163,Strata,16 to 20,2159,Oct-21
161,CASUARINA COVE,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1993,Resale,1,1830000,-,1389,Strata,06 to 10,1318,Oct-21
162,ONE AMBER,AMBER GARDENS,Condominium,15,RCR,Freehold,Resale,1,2420888,-,1335,Strata,16 to 20,1814,Oct-21
163,SPRINGVALE,EAST COAST ROAD,Apartment,15,OCR,Freehold,Resale,1,1220000,-,969,Strata,01 to 05,1259,Oct-21
164,LE REGAL,GEYLANG ROAD,Apartment,14,RCR,Freehold,Resale,1,730800,-,570,Strata,01 to 05,1281,Oct-21
165,EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 yrs lease commencing from 2010,Resale,1,1438000,-,1163,Strata,01 to 05,1237,Oct-21
166,REZI 26,LORONG 26 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,648000,-,484,Strata,01 to 05,1338,Oct-21
167,THE ALCOVE,LORONG 27 GEYLANG,Apartment,14,RCR,99 yrs lease commencing from 2000,Resale,1,1200000,-,1302,Strata,06 to 10,921,Oct-21
168,EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,1130000,-,700,Strata,21 to 25,1615,Oct-21
169,PRESTIGE HEIGHTS,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,600000,-,377,Strata,11 to 15,1593,Oct-21
170,RESIDENCES @ EVELYN,EVELYN ROAD,Condominium,11,CCR,Freehold,Resale,1,2400000,-,1141,Strata,11 to 15,2103,Oct-21
171,RAJAH TOWERS,JALAN RAJAH,Apartment,12,RCR,Freehold,Resale,1,2450000,-,2207,Strata,06 to 10,1110,Oct-21
172,BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 yrs lease commencing from 2012,Resale,1,2098000,-,1550,Strata,11 to 15,1354,Oct-21
173,EVERITT EDGE,JOO CHIAT PLACE,Apartment,15,RCR,Freehold,Resale,1,685000,-,484,Strata,01 to 05,1414,Oct-21
174,GUILLEMARD EDGE,LORONG 30 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,790000,-,517,Strata,01 to 05,1529,Oct-21
175,VIBES @ EAST COAST,TELOK KURAU ROAD,Apartment,15,OCR,Freehold,Resale,1,626000,-,420,Strata,01 to 05,1491,Oct-21
176,AMBER RESIDENCES,AMBER ROAD,Condominium,15,RCR,Freehold,Resale,1,2218000,-,1163,Strata,16 to 20,1908,Oct-21
177,THE SHORE RESIDENCES,AMBER ROAD,Condominium,15,RCR,103 yrs lease commencing from 2009,Resale,1,1585000,-,883,Strata,11 to 15,1796,Oct-21
178,THE ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 yrs lease commencing from 1979,Resale,1,4100000,-,3778,Strata,01 to 05,1085,Oct-21
